song,artist,year,type,gender,duration,language,tabber,source,date,difficulty,specialbooks
Sweet Dreams (Are Made of This),Eurythmics,1983,Group,female,00:03:16,english,Manuel,new,20221101,2.596,"regular,womens,pride"
Sympathy for the Devil,The Rolling Stones,1968,Group,male,00:05:20,english,Manuel,old,20211102,2.495,regular
Take A Chance On Me,ABBA,1977,Group,female,00:04:03,english,Adelaide,new,20220531,3.978,"regular,valentines,womens,pride"
Take on Me,a-ha,1984,Group,male,00:03:30,english,Adelaide,old,20211019,3.399,"regular,valentines,pride"
Talkin' Bout a Revolution,Tracy Chapman,1988,Person,female,00:02:33,english,Manuel,new,,,
Tequila,The Champs,1958,Group,ensemble,00:02:10,spanish,Manuel,new,,3.036,
Thank God It's Christmas,Queen,1984,Group,male,00:04:12,english,Manuel,new,20221206,,xmas
That's Not My Name (Radio Edit),The Ting Tings,2008,Group,female,00:03:32,english,Manuel,new,,,
The Best (Edit),Tina Turner,1989,Person,female,00:04:00,english,Manuel,new,20220913,2.447,"regular,valentines,womens,pride"
The Final Countdown,Europe,1986,Group,male,00:04:52,english,Manuel,old,20220301,5.066,regular
The Ketchup Song (Aserejé),Las Ketchup,2002,Group,female,00:03:08,english,Manuel,new,,3.628,
The Lion Sleeps Tonight,The Tokens,1961,Group,male,00:02:38,english,Manuel,old,20210914,1.49,regular
The Season's Upon Us,Dropkick Murphys,2013,Group,male,00:03:52,english,Manuel,new,20221206,,xmas
Thriller,Michael Jackson,1982,Person,male,00:05:10,english,Manuel,new,20221101,4.883,halloween
Time Warp,The Rocky Horror Picture Show,1973,Group,duet,00:03:28,english,Bernard,off,20221101,2.567,"halloween,pride"
To The Moon,Ukulele Tuesday,2024,Group,female,00:02:50,english,Bao,new,,,
Torn,Natalie Imbruglia,1997,Person,female,00:04:08,english,Manuel,new,20220510,2.625,"regular,womens"
Toxic,Britney Spears,2004,Person,female,00:03:18,english,Manuel,old,20211123,3.084,"regular,valentines,womens,pride"
Tragedy,Bee Gees,1979,Group,male,00:04:44,english,Manuel,new,20220426,3.178,"valentines,pride"
Tribute,Tenacious D,2001,Group,male,00:04:02,english,Manuel,new,20221101,2.13,"halloween,temp"
True Colors,Cindy Lauper,1986,Person,female,00:03:34,english,Jacques,new,20230620,2.682,pride
True Trans Soul Rebel,Against Me!,2014,Group,male,00:03:04,english,Jacques,new,20240625,2.9,pride
Truly Madly Deeply,Savage Garden,1997,Group,male,00:04:34,english,Bernard,new,20220621,1.435,"valentines,pride"
Twist in My Sobriety,Tanita Tikaram,1988,Person,female,00:04:46,english,Manuel,new,20240625,1.399,pride
Up in Arms,Aslan (feat. Sinéad O'Connor),2007,Group,duet,00:03:30,english,Manuel,new,,,
Valerie,Amy Winehouse,2007,Person,female,00:03:36,english,Manuel,old,20211116,3.108,"regular,valentines,womens,pride"
vampire,Olivia Rodrigo,2023,Person,female,00:03:38,english,Manuel,new,20231031,2.042,"regular,womens"
Voyage voyage,Desireless,2001,Person,male,00:04:06,french,Manuel,new,20240716,4.67,bastille
Wake Up,Arcade Fire,2005,Group,male,00:05:28,english,Jacques,off,20220524,1.414,regular
Walk Of Life,Dire Straits,1985,Group,male,00:03:56,english,Manuel,old,,,
Walking On Sunshine,Katrina & The Waves,1985,Group,female,00:03:44,english,Manuel,new,20240109,2.23,"regular,valentines,womens,pride"
Waterloo,ABBA,1977,Group,female,00:02:42,english,Manuel,new,20230509,2.162,"regular,valentines,womens,pride"
We Are Family,Sister Sledge,1979,Group,female,00:03:24,english,Manuel,new,20230620,1.758,pride
We Are Young,fun. (feat. Janelle Monáe),2011,Person,male,00:04:06,english,Jacques,new,20230620,2.741,pride
What's Up?,4 Non Blondes,1993,Group,female,00:04:48,english,Bao,new,20211005,1.842,"regular,womens,pride"
When You're Gone,"Bryan Adams, Melanie C",1998,Person,duet,00:03:20,english,Manuel,new,,,
Where the Streets Have No Name,U2,1987,Group,male,00:04:46,english,Manuel,new,20220215,1.66,
Where's Me Jumper?,Sultans Of Ping F.C.,1993,Group,male,00:03:00,english,Jacques,new,,,
Whiskey in the Jar,Thin Lizzy,1972,Group,male,00:05:45,english,Manuel,new,20230516,,
White Flag,Dido,2003,Person,female,00:03:58,english,Jacques,new,20220524,2.482,"regular,valentines,womens"
Whole Again,Atomic Kitten,2000,Group,female,00:03:02,english,Manuel,new,,3.154,
